SMILES,reactants,products,label,is_duplicate,Source
C=CCOC(=O)CC(=O)OCC=C.CC(=O)OCC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C>>C=CCOC(=O)C(C(=O)OCC=C)[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(C)=O,C=CCOC(=O)CC(=O)OCC=C.CC(=O)OCC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,C=CCOC(=O)C(C(=O)OCC=C)[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(C)=O,HasRing=True|NumRings=4|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC#N.O=C1CC2(CCC2)Oc2cc(Br)ccc21>>N#CCCC1C(=O)c2ccc(Br)cc2OC12CCC2,C=CC#N.O=C1CC2(CCC2)Oc2cc(Br)ccc21,N#CCCC1C(=O)c2ccc(Br)cc2OC12CCC2,HasRing=True|NumRings=3|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=True|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CC(=O)C=C(C)C.COC(=O)CC(C)=O>>COC(=O)C(C(C)=O)C(C)(C)CC(C)=O,CC(=O)C=C(C)C.COC(=O)CC(C)=O,COC(=O)C(C(C)=O)C(C)(C)CC(C)=O,HasRing=False|NumRings=0|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CC(=O)C=C(C)C.CC(=O)CC(C)=O>>CC(=O)CC(C)(C)C(C(C)=O)C(C)=O,CC(=O)C=C(C)C.CC(=O)CC(C)=O,CC(=O)CC(C)(C)C(C(C)=O)C(C)=O,HasRing=False|NumRings=0|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CC=C(C)C(C)=O.COC(=O)CC(C)=O>>COC(=O)C(C(C)=O)C(C)C(C)C(C)=O,CC=C(C)C(C)=O.COC(=O)CC(C)=O,COC(=O)C(C(C)=O)C(C)C(C)C(C)=O,HasRing=False|NumRings=0|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)C=Cc1ccc(F)cc1.CCOC(=O)CC#N>>CCOC(=O)CC(c1ccc(F)cc1)C(C#N)C(=O)OCC,CCOC(=O)C=Cc1ccc(F)cc1.CCOC(=O)CC#N,CCOC(=O)CC(c1ccc(F)cc1)C(C#N)C(=O)OCC,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CC(=O)OC(C)(C)C.O=C1C=CCO1>>CC(C)(C)OC(=O)CC1COC(=O)C1,CC(=O)OC(C)(C)C.O=C1C=CCO1,CC(C)(C)OC(=O)CC1COC(=O)C1,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC#N.CC(C)C=O>>CC(C)(C=O)CCC#N,C=CC#N.CC(C)C=O,CC(C)(C=O)CCC#N,HasRing=False|NumRings=0|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC#N.O=CC1CCCC1>>N#CCCC1(C=O)CCCC1,C=CC#N.O=CC1CCCC1,N#CCCC1(C=O)CCCC1,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC#N.O=CC1CCCCC1>>N#CCCC1(C=O)CCCCC1,C=CC#N.O=CC1CCCCC1,N#CCCC1(C=O)CCCCC1,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(C)=O.COc1ccc2c(c1)CC(C)C2=O>>COc1ccc2c(c1)CC(C)(CCC(C)=O)C2=O,C=CC(C)=O.COc1ccc2c(c1)CC(C)C2=O,COc1ccc2c(c1)CC(C)(CCC(C)=O)C2=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(=O)CC.CCCCC1Cc2cc(OC)ccc2C1=O>>CCCCC1(CCC(=O)CC)Cc2cc(OC)ccc2C1=O,C=CC(=O)CC.CCCCC1Cc2cc(OC)ccc2C1=O,CCCCC1(CCC(=O)CC)Cc2cc(OC)ccc2C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(C)=O.CCCCC1Cc2c(ccc(OC)c2C)C1=O>>CCCCC1(CCC(C)=O)Cc2c(ccc(OC)c2C)C1=O,C=CC(C)=O.CCCCC1Cc2c(ccc(OC)c2C)C1=O,CCCCC1(CCC(C)=O)Cc2c(ccc(OC)c2C)C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(=O)CC.CCCCC1Cc2c(ccc(OC)c2C)C1=O>>CCCCC1(CCC(=O)CC)Cc2c(ccc(OC)c2C)C1=O,C=CC(=O)CC.CCCCC1Cc2c(ccc(OC)c2C)C1=O,CCCCC1(CCC(=O)CC)Cc2c(ccc(OC)c2C)C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(=O)CC.CCCCC1Cc2c(ccc(OC)c2Cl)C1=O>>CCCCC1(CCC(=O)CC)Cc2c(ccc(OC)c2Cl)C1=O,C=CC(=O)CC.CCCCC1Cc2c(ccc(OC)c2Cl)C1=O,CCCCC1(CCC(=O)CC)Cc2c(ccc(OC)c2Cl)C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(=O)CC.COc1ccc2c(c1)CC(CCO)C2=O>>CCC(=O)CCC1(CCO)Cc2cc(OC)ccc2C1=O,C=CC(=O)CC.COc1ccc2c(c1)CC(CCO)C2=O,CCC(=O)CCC1(CCO)Cc2cc(OC)ccc2C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
COC(=O)C=Cc1ccc(F)cc1.COC(=O)CC#N>>COC(=O)CC(c1ccc(F)cc1)C(C#N)C(=O)OC,COC(=O)C=Cc1ccc(F)cc1.COC(=O)CC#N,COC(=O)CC(c1ccc(F)cc1)C(C#N)C(=O)OC,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
O=C(C=Cc1ccccc1)c1ccccc1.O=C1CCCCC1>>O=C(CC(c1ccccc1)C1CCCCC1=O)c1ccccc1,O=C(C=Cc1ccccc1)c1ccccc1.O=C1CCCCC1,O=C(CC(c1ccccc1)C1CCCCC1=O)c1ccccc1,HasRing=True|NumRings=3|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)CC(=O)OCC.Cc1ncc(C=CC(=O)CCCCc2ccc3c(n2)NCCC3)cn1>>CCOC(=O)C(C(=O)OCC)[C@H](CC(=O)CCCCc1ccc2c(n1)NCCC2)c1cnc(C)nc1,CCOC(=O)CC(=O)OCC.Cc1ncc(C=CC(=O)CCCCc2ccc3c(n2)NCCC3)cn1,CCOC(=O)C(C(=O)OCC)[C@H](CC(=O)CCCCc1ccc2c(n1)NCCC2)c1cnc(C)nc1,HasRing=True|NumRings=3|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
COC(=O)/C=C/c1ccc(F)cc1.COC(=O)CC(=O)OC>>COC(=O)CC(c1ccc(F)cc1)C(C(=O)OC)C(=O)OC,COC(=O)/C=C/c1ccc(F)cc1.COC(=O)CC(=O)OC,COC(=O)CC(c1ccc(F)cc1)C(C(=O)OC)C(=O)OC,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=C(CC)CCC(=O)N1C(=O)OC[C@H]1Cc1ccccc1.C=CC#N>>C=C(CC)C[C@@H](CCC#N)C(=O)N1C(=O)OC[C@H]1Cc1ccccc1,C=C(CC)CCC(=O)N1C(=O)OC[C@H]1Cc1ccccc1.C=CC#N,C=C(CC)C[C@@H](CCC#N)C(=O)N1C(=O)OC[C@H]1Cc1ccccc1,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(C)=O.CCCCC1Cc2cc(NC(C)=O)ccc2C1=O>>CCCCC1(CCC(C)=O)Cc2cc(NC(C)=O)ccc2C1=O,C=CC(C)=O.CCCCC1Cc2cc(NC(C)=O)ccc2C1=O,CCCCC1(CCC(C)=O)Cc2cc(NC(C)=O)ccc2C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(C)=O.CCCCC1Cc2c(cc(F)c(N)c2Cl)C1=O>>CCCCC1(CCC(C)=O)Cc2c(cc(F)c(N)c2Cl)C1=O,C=CC(C)=O.CCCCC1Cc2c(cc(F)c(N)c2Cl)C1=O,CCCCC1(CCC(C)=O)Cc2c(cc(F)c(N)c2Cl)C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(C)=O.CCCCC1Cc2cc(N)c(F)cc2C1=O>>CCCCC1(CCC(C)=O)Cc2cc(N)c(F)cc2C1=O,C=CC(C)=O.CCCCC1Cc2cc(N)c(F)cc2C1=O,CCCCC1(CCC(C)=O)Cc2cc(N)c(F)cc2C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(=O)CC.CCCCC1Cc2cc(N)c(F)cc2C1=O>>CCCCC1(CCC(=O)CC)Cc2cc(N)c(F)cc2C1=O,C=CC(=O)CC.CCCCC1Cc2cc(N)c(F)cc2C1=O,CCCCC1(CCC(=O)CC)Cc2cc(N)c(F)cc2C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(=O)CCC.CCCCC1Cc2c(cc(F)c(N)c2F)C1=O>>CCCCC1(CCC(=O)CCC)Cc2c(cc(F)c(N)c2F)C1=O,C=CC(=O)CCC.CCCCC1Cc2c(cc(F)c(N)c2F)C1=O,CCCCC1(CCC(=O)CCC)Cc2c(cc(F)c(N)c2F)C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C/C=C/C(=O)OC.CCS(=O)(=O)c1ccccc1>>COC(=O)CC(C)C(C)S(=O)(=O)c1ccccc1,C/C=C/C(=O)OC.CCS(=O)(=O)c1ccccc1,COC(=O)CC(C)C(C)S(=O)(=O)c1ccccc1,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC#N.N#CCCCCC#N>>N#CCCCC(C#N)CCC#N,C=CC#N.N#CCCCCC#N,N#CCCCC(C#N)CCC#N,HasRing=False|NumRings=0|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCCCCC1=CCCC1=O.COC(=O)CC(=O)OC>>CCCCCC1C(=O)CCC1C(C(=O)OC)C(=O)OC,CCCCCC1=CCCC1=O.COC(=O)CC(=O)OC,CCCCCC1C(=O)CCC1C(C(=O)OC)C(=O)OC,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)/C=C/c1cc(F)cc(OC)c1.CCOC(=O)CC(=O)OCC>>CCOC(=O)CC(c1cc(F)cc(OC)c1)C(C(=O)OCC)C(=O)OCC,CCOC(=O)/C=C/c1cc(F)cc(OC)c1.CCOC(=O)CC(=O)OCC,CCOC(=O)CC(c1cc(F)cc(OC)c1)C(C(=O)OCC)C(=O)OCC,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)/C=C/c1ccc2sc(C)nc2c1.CCOC(=O)CC(=O)OCC>>CCOC(=O)CC(c1ccc2sc(C)nc2c1)C(C(=O)OCC)C(=O)OCC,CCOC(=O)/C=C/c1ccc2sc(C)nc2c1.CCOC(=O)CC(=O)OCC,CCOC(=O)CC(c1ccc2sc(C)nc2c1)C(C(=O)OCC)C(=O)OCC,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)C=Cc1ccc2ccoc2c1.CCOC(=O)CC(=O)OCC>>CCOC(=O)CC(c1ccc2ccoc2c1)C(C(=O)OCC)C(=O)OCC,CCOC(=O)C=Cc1ccc2ccoc2c1.CCOC(=O)CC(=O)OCC,CCOC(=O)CC(c1ccc2ccoc2c1)C(C(=O)OCC)C(=O)OCC,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)CC(=O)OCC.COc1ncc(/C=C/C(=O)CCCCc2ccc3c(n2)NCCCC3)cn1>>CCOC(=O)C(C(=O)OCC)C(CC(=O)CCCCc1ccc2c(n1)NCCCC2)c1cnc(OC)nc1,CCOC(=O)CC(=O)OCC.COc1ncc(/C=C/C(=O)CCCCc2ccc3c(n2)NCCCC3)cn1,CCOC(=O)C(C(=O)OCC)C(CC(=O)CCCCc1ccc2c(n1)NCCCC2)c1cnc(OC)nc1,HasRing=True|NumRings=3|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
