Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:RGT:AMD,RXN:VAR:CAT:AMD,RXN:RCT:AMD,RXN:PRO:AMD
O=[N+]([O-])c1ccc(CBr)cc1,C/C=C/[C@H](CCC)C(C)(C)C(=O)O.C/C=C/[C@H](CCC)C(C)(C)C(=O)OCc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(CBr)cc1>>C/C=C/[C@H](CCC)C(C)(C)C(=O)O.C/C=C/[C@H](CCC)C(C)(C)C(=O)OCc1ccc([N+](=O)[O-])cc1,"['100-11-8', '1877277-92-3']",1877277-97-8,31-017-CAS-1102196,1,1,100,584-08-7,67-64-1,ee = 99.5%,Copper Hydride Catalyzed Reductive Claisen Rearrangements,"Wong, Kong Ching; Ng, Elvis; Wong, Wing-Tak; Chiu, Pauline","Chemistry - A European Journal (2016), 22(11), 3709-3712",,,,,,
[H][C@]12SS[C@@]3(C(=O)N1C)[C@@H](OC(C)=O)CCN3C2=O,[H][C@]12SS[C@@]3(C(=O)N1C)[C@@H](O)CCN3C2=O,[H][C@]12SS[C@@]3(C(=O)N1C)[C@@H](OC(C)=O)CCN3C2=O>>[H][C@]12SS[C@@]3(C(=O)N1C)[C@@H](O)CCN3C2=O,1001166-80-8,1001166-82-0,31-352-CAS-13058151,1,2,100,67-56-1,75-05-8,phosphate buffer used last stage,Construction of Epidithiodioxopiperazines by Directed Oxidation of,"Overman, Larry E.; Sato, Takaaki","Organic Letters (2007), 9(25), 5267-5270",144026-79-9,"Hydroxy Epidithiodioxopiperazine (23) Scandium triflate (28.0 mg, 56.9",,,,
N[C@@H](CS)C(=O)O,CCC[C@@H]1CC2(CCCC2)C(=O)N(c2nnc(CC)s2)C1=O.CCC[C@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)N[C@@H](CS)C(=O)O,N[C@@H](CS)C(=O)O>>CCC[C@@H]1CC2(CCCC2)C(=O)N(c2nnc(CC)s2)C1=O.CCC[C@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)N[C@@H](CS)C(=O)O,"['52-90-4', '1000808-29-6']",1000808-41-2,31-363-CAS-4452372,1,1,100,1000808-28-5,7732-18-5,buffered solution (phosphate),Cyclization of the Acyl Glucuronide Metabolite of a Neutral Endopeptidase,"Meng, Xiaoli; Maggs, James L.; Pryde, David C.; Planken, Simon; Jenkins,","Journal of Medicinal Chemistry (2007), 50(24), 6165-6176",,Stability of Acyl Glucuronide 3 and Cyclic Imide 4 in Aqueous Solution.,,,,
C1CCN(C2CCNCC2)CC1,O=C(Oc1ccc([N+](=O)[O-])cc1)OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)cc2Cl)CC1.O=C(OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)cc2Cl)CC1)N1CCC(N2CCCCC2)CC1,C1CCN(C2CCNCC2)CC1>>O=C(Oc1ccc([N+](=O)[O-])cc1)OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)cc2Cl)CC1.O=C(OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)cc2Cl)CC1)N1CCC(N2CCCCC2)CC1,"['4897-50-1', '1000811-11-9']",1000809-90-4,31-368-CAS-11673204,1,2,100,"['100-52-7', '505097-38-1']","['67-56-1', '107-06-2']","combinatorial, solid-supported reagent, PS-NCO resin and PS-benzaldehyde",Solution-Phase Parallel Synthesis of Carbamates as γ-Secretase Inhibitors,"Vaccaro, Henry A.; Zhao, Zhiqiang; Clader, John W.; Song, Lixin;","Journal of Combinatorial Chemistry (2008), 10(1), 56-62",,General/Typical Procedure: Synthesis of Library 3. Set-up of Reactions.:,polystyrene supported,,,
CN(C)c1ccc(C=O)cc1,CC(C)C(N)CO.CC(C)[C@H]1CO[C@@H](c2ccc(N(C)C)cc2)N1,CN(C)c1ccc(C=O)cc1>>CC(C)C(N)CO.CC(C)[C@H]1CO[C@@H](c2ccc(N(C)C)cc2)N1,"['100-10-7', '16369-05-4']",1001428-46-1,31-301-CAS-10492907,1,1,100,,67-56-1,"stereoselective, product exists as a mixt. of tautomers",Substituent effects in the ring-chain tautomerism of 4-alkyl-2-aryl,"Juhasz, Marta; Lazar, Laszlo; Fulop, Ferenc","Journal of Heterocyclic Chemistry (2007), 44(6), 1465-1473",,,,,,
c1ccc(CN2CCNCC2)cc1,O=C(Oc1ccc([N+](=O)[O-])cc1)OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2F)CC1.O=C(OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2F)CC1)N1CCN(Cc2ccccc2)CC1,c1ccc(CN2CCNCC2)cc1>>O=C(Oc1ccc([N+](=O)[O-])cc1)OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2F)CC1.O=C(OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2F)CC1)N1CCN(Cc2ccccc2)CC1,"['2759-28-6', '1000811-13-1']",1000810-36-5,31-368-CAS-2929185,1,2,100,"['100-52-7', '505097-38-1']","['67-56-1', '107-06-2']","combinatorial, solid-supported reagent, PS-NCO resin and PS-benzaldehyde",Solution-Phase Parallel Synthesis of Carbamates as γ-Secretase Inhibitors,"Vaccaro, Henry A.; Zhao, Zhiqiang; Clader, John W.; Song, Lixin;","Journal of Combinatorial Chemistry (2008), 10(1), 56-62",,General/Typical Procedure: Synthesis of Library 3. Set-up of Reactions.:,polystyrene supported,,,
COc1ccc(C(=O)O)cc1,CC(C)(C)[Si](C)(C)N.COc1ccc(C(=O)O[Si](C)(C)C(C)(C)C)cc1,COc1ccc(C(=O)O)cc1>>CC(C)(C)[Si](C)(C)N.COc1ccc(C(=O)O[Si](C)(C)C(C)(C)C)cc1,"['100-09-4', '41879-37-2']",345647-18-9,31-614-CAS-26417976,1,1,100,,,"green chemistry, green chemistry-reagent, no solvent,",tert-Butyldimethylsilyl Amine (TBDMS-NH2): A Mild and Green Reagent for,"Duczynski, Jeremy A.; Fuller, Rebecca; Stewart, Scott G.","Australian Journal of Chemistry (2016), 69(10), 1172-1179",,,,,,
COc1ccc(C(C)=O)cc1,CC=C[Mg]Br.CC=CC(C)(O)c1ccc(OC)cc1,COc1ccc(C(C)=O)cc1>>CC=C[Mg]Br.CC=CC(C)(O)c1ccc(OC)cc1,"['100-06-1', '14092-04-7']",2234278-24-9,31-320-CAS-19451356,1,3,100,7647-01-0,"['109-99-9', '7732-18-5']",Grignard reaction,Chemo-Enzymatic Oxidative Rearrangement of Tertiary Allylic Alcohols:,"Brenna, Elisabetta; Crotti, Michele; De Pieri, Matteo; Gatti, Francesco","Advanced Synthesis & Catalysis (2018), 360(19), 3677-3686",,,,,,
Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCOCCOCCOCCCCOCCOCCOCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCOCCOCCOCCCCOCCOCCOCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCOCCOCCOCCCCOCCOCCOCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCOCCOCCOCCCCOCCOCCOCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],1001010-97-4,1002761-74-1,31-614-CAS-27828198,1,2,100,17084-13-8,"['110-86-1', '7732-18-5']","photochemical, stereoselective, 1000W xenon arc lamp used, alternative",Light-Induced Geometrical Changes in Acyclic Ruthenium(II) Complexes and,"Bonnet, Sylvestre; Collin, Jean-Paul; Sauvage, Jean-Pierre","Inorganic Chemistry (2007), 46(25), 10520-10533",,18photo 2+. A 6 mg amount of [18th ][PF6]2 was dissolved in 2 mL of,,,,
c1ccc(CN2CCCNCC2)cc1,Cc1ccc(S(=O)(=O)N2[C@H](c3cccc(F)c3)CCC[C@@H]2C2(OC(=O)Oc3ccc([N+](=O)[O-])cc3)CC2)cc1F.Cc1ccc(S(=O)(=O)N2[C@H](c3cccc(F)c3)CCC[C@@H]2C2(OC(=O)N3CCCN(Cc4ccccc4)CC3)CC2)cc1F,c1ccc(CN2CCCNCC2)cc1>>Cc1ccc(S(=O)(=O)N2[C@H](c3cccc(F)c3)CCC[C@@H]2C2(OC(=O)Oc3ccc([N+](=O)[O-])cc3)CC2)cc1F.Cc1ccc(S(=O)(=O)N2[C@H](c3cccc(F)c3)CCC[C@@H]2C2(OC(=O)N3CCCN(Cc4ccccc4)CC3)CC2)cc1F,"['4410-12-2', '1000811-14-2']",1000810-71-8,31-368-CAS-13759836,1,2,100,"['100-52-7', '505097-38-1']","['67-56-1', '107-06-2']","combinatorial, solid-supported reagent, PS-NCO resin and PS-benzaldehyde",Solution-Phase Parallel Synthesis of Carbamates as γ-Secretase Inhibitors,"Vaccaro, Henry A.; Zhao, Zhiqiang; Clader, John W.; Song, Lixin;","Journal of Combinatorial Chemistry (2008), 10(1), 56-62",,General/Typical Procedure: Synthesis of Library 3. Set-up of Reactions.:,polystyrene supported,,,
