Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:PRO:AMD,RXN:VAR:CAT:AMD,RXN:VAR:SOL:AMD,RXN:RCT:AMD,RXN:VAR:RGT:AMD
Oc1ccc(OCCCl)cc1,[N-]=[N+]=NCCOc1ccc(O)cc1,Oc1ccc(OCCCl)cc1>>[N-]=[N+]=NCCOc1ccc(O)cc1,100238-55-9,1338577-11-9,31-043-CAS-20307765,1,1,100,"['17455-13-9', '26628-22-8']",68-12-2,alternative preparation shown,New approaches to analogs of α-linked galactosylceramides based on,"Jost, U.; Abronina, P. I.; Zinin, A. I.; Michalik, D.; Kragl, U.;","Russian Chemical Bulletin (2018), 67(12), 2297-2306",,,,,,,
CCCCC#CCO,C#Cc1ccc(Oc2ccc(C#C)cc2)cc1.C#Cc1ccc(Oc2ccc(C#C)cc2)cc1.CCCCC#CCO,CCCCC#CCO>>C#Cc1ccc(Oc2ccc(C#C)cc2)cc1.C#Cc1ccc(Oc2ccc(C#C)cc2)cc1.CCCCC#CCO,"['1002-36-4', '21368-80-9']",2540280-11-1,31-614-CAS-30196035,1,1,100,,872-50-4,[2+2+2] cycloaddition copolymerization,Cobalt-catalyzed [2 + 2 + 2] cycloaddition copolymerization of diyne and,"Kikuta, Nana; Shindo, Takahiro; Sugiyama, Yu-ki; Yamada, Takeshi;","Polymer (2021), 212123133","['7440-66-6', '7646-79-9', '149810-35-5']",,,,,,
O=S(=O)(Cl)c1ccc(I)cc1,NC1CCCC1.OB(O)c1ccc(C(F)(F)F)c(Cl)c1.O=S(=O)(NC1CCCC1)c1ccc(-c2ccc(C(F)(F)F)c(Cl)c2)cc1,O=S(=O)(Cl)c1ccc(I)cc1>>NC1CCCC1.OB(O)c1ccc(C(F)(F)F)c(Cl)c1.O=S(=O)(NC1CCCC1)c1ccc(-c2ccc(C(F)(F)F)c(Cl)c2)cc1,"['98-61-3', '1003-03-8', '847756-88-1']",1176725-79-3,31-179-CAS-13714230,1,2,100,7778-53-2,"['75-09-2', '68-12-2', '123-91-1']","solid-supported catalyst (in stage 2), polymer supported isocyanate used",Preparation of biaryl derivatives as anticancer agents,"Asai, Akira; Sawada, Junichi; Matsuno, Kenji; Ogo, Naohisa; Nishigaki,","World Intellectual Property Organization, WO2009096198 A1 2009-08-06",7440-05-3,General/Typical Procedure: Example 85 [0197],,,,,
O=CCc1ccccc1,CC(=O)OCC#N.COC(=O)c1cc(-c2ccccc2)sc1N,O=CCc1ccccc1>>CC(=O)OCC#N.COC(=O)c1cc(-c2ccccc2)sc1N,"['122-78-1', '1001-55-4']",61325-02-8,31-614-CAS-29542179,1,1,100,"['7087-68-5', '7704-34-9']",68-12-2,"reaction is exothermic, Gewald reaction","Preparation of substituted heterocycles, particularly ureidothiophenes,","Ashwell, Susan; Gero, Thomas; Ioannidis, Stephanos; Janetka, James; Lyne,","World Intellectual Property Organization, WO2005066163 A2 2005-07-21",,methyl 2-amino-5-phenylthiophene-3-carboxylate. To a solution of,,,,,
NNc1ccc([N+](=O)[O-])cc1,ON=CCCC=NO.O=C(CCC(C(=O)O)N1C(=O)c2ccccc2C1=O)Oc1ccccc1,NNc1ccc([N+](=O)[O-])cc1>>ON=CCCC=NO.O=C(CCC(C(=O)O)N1C(=O)c2ccccc2C1=O)Oc1ccccc1,"['100-16-3', '2580-71-4']",101895-70-9,31-614-CAS-28997784,1,1,100,,"['64-17-5', '7732-18-5']",Classification: Substitution; Hydrazination; # Conditions: EtOH H2O heat;,"The conversion of certain pyrroles to α,δ-alkanedione dioximes","Findlay, Stephen P.","Journal of Organic Chemistry (1956), 21644-7",,,,,,,
C=O,CC(=O)c1ccc([N+](=O)[O-])cc1.c1ccc(CC2CCNCC2)cc1.O=C(c1ccc([N+](=O)[O-])cc1)C(CN1CCC(Cc2ccccc2)CC1)CN1CCC(Cc2ccccc2)CC1,C=O>>CC(=O)c1ccc([N+](=O)[O-])cc1.c1ccc(CC2CCNCC2)cc1.O=C(c1ccc([N+](=O)[O-])cc1)C(CN1CCC(Cc2ccccc2)CC1)CN1CCC(Cc2ccccc2)CC1,"['50-00-0', '100-19-6', '31252-42-3']",1037020-24-8,31-315-CAS-5000151,1,1,100,,"['64-17-5', '7732-18-5']",Mannich reaction,Reactive derivatives for affinity labeling in the ifenprodil site of NMDA,"Alarcon, Karine; Martz, Adeline; Mony, Laetitia; Neyton, Jacques;","Bioorganic & Medicinal Chemistry Letters (2008), 18(9), 2765-2770",7647-01-0,,,,,,
NC1CCCC1,CCCCC#Cc1cc(F)ccc1C=O.CCCCC#Cc1cc(F)ccc1C=NC1CCCC1,NC1CCCC1>>CCCCC#Cc1cc(F)ccc1C=O.CCCCC#Cc1cc(F)ccc1C=NC1CCCC1,"['1003-03-8', '1207290-13-8']",1493778-15-6,31-309-CAS-3221575,1,1,100,,75-09-2,molecular sieves used,One-pot synthesis of,"Liu, Qilun; Wu, Yichen; Chen, Pinhong; Liu, Guosheng","Organic Letters (2013), 15(24), 6210-6213",,General/Typical Procedure: General Procedure for the Preparation of,,,,,
O=C(Cl)c1ccc(C(=O)Cl)cc1,C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C#C)cc2)c2ccccc2)cc1.CCCCS.*C(=CC(=O)c1ccc(C(=O)C=C(SCCCC)c2ccc(C(=C(c3ccccc3)c3ccc(*)cc3)c3ccccc3)cc2)cc1)SCCCC,O=C(Cl)c1ccc(C(=O)Cl)cc1>>C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C#C)cc2)c2ccccc2)cc1.CCCCS.*C(=CC(=O)c1ccc(C(=O)C=C(SCCCC)c2ccc(C(=C(c3ccccc3)c3ccc(*)cc3)c3ccccc3)cc2)cc1)SCCCC,"['100-20-9', '1240785-42-5', '109-79-5']",1683541-82-3,31-614-CAS-30932768,1,2,100,121-44-8,109-99-9,"regioselective (stage 2), stereoselective, optimization study, optimized","Multicomponent Tandem Reactions and Polymerizations of Alkynes, Carbonyl","Zheng, Chao; Deng, Haiqin; Zhao, Zujin; Qin, Anjun; Hu, Rongrong; Tang,","Macromolecules (Washington, DC, United States) (2015), 48(7), 1941-1951","['7681-65-4', '13965-03-2', '998-40-3']",,,,,,
O=C(O)c1ccc(C(=O)O)cc1,OCCCCO.O=C(OCCCCO)c1ccc(C(=O)OCCCCOC(=O)c2ccc(C(=O)OCCCCO)cc2)cc1,O=C(O)c1ccc(C(=O)O)cc1>>OCCCCO.O=C(OCCCCO)c1ccc(C(=O)OCCCCOC(=O)c2ccc(C(=O)OCCCCO)cc2)cc1,"['100-21-0', '110-63-4']",29278-67-9,31-356-CAS-17278711,1,1,100,,,distillation apparatus used,"Efficient synthesis of organic carbonates and poly(1,4-butylene","Kim, Jin Gu; Jeon, Jong Yeob; Chun, Jiseul; Kim, Chung Sol; Lee, Pyung","Journal of Applied Polymer Science (2017), 134(24), n/a",5593-70-4,,,,,,
C=CB1OB(C=C)OB(C=C)O1,COc1ccc2ccc(F)c(Br)c2n1.C=Cc1c(F)ccc2ccc(OC)nc12,C=CB1OB(C=C)OB(C=C)O1>>COc1ccc2ccc(F)c(Br)c2n1.C=Cc1c(F)ccc2ccc(OC)nc12,"['92988-08-4', '1001322-87-7']",1442465-51-1,31-177-CAS-725839,1,1,100,584-08-7,"['110-71-4', '7732-18-5']",Suzuki coupling,Preparation of octahydropyridooxazinone derivatives for use as,"Hubschwerlen, Christian; Rueedi, Georg; Surivet, Jean-Philippe; Zumbrunn","World Intellectual Property Organization, WO2013080156 A1 2013-06-06",14221-01-3,F. i. 7-fluoro-2-methoxy-8-vinylquinoline: A solution of,,,,,
