Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:CAT:AMD,RXN:PRO:AMD,RXN:VAR:RGT:AMD
[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2,CCCC=CC(=O)OC(C)(C)C.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@@H](CCC)CC(=O)OC(C)(C)C)O1)C2,[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2>>CCCC=CC(=O)OC(C)(C)C.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@@H](CCC)CC(=O)OC(C)(C)C)O1)C2,"['810671-46-6', '85144-28-1']",810671-53-5,31-254-CAS-14607561,1,3,100,"['4039-32-1', '64-19-7']","['109-99-9', '7732-18-5']",General/Typical Procedure: General procedure for the Michael reaction of,"stereoselective, de >95%, Michael addition",Highly Stereoselective Michael Addition Reactions of CamTHP-Desymmetrized,"Dixon, Darren J.; Horan, Richard A. J.; Monck, Nathaniel J. T.; Berg,","Organic Letters (2004), 6(24), 4427-4429",,,,
CC(C)(C)OC(=O)N1C(=O)C(F)c2ccccc21,O=[N+]([O-])C=C1COC1.CC(C)(C)OC(=O)N1C(=O)[C@](F)(C2(C[N+](=O)[O-])COC2)c2ccccc21,CC(C)(C)OC(=O)N1C(=O)C(F)c2ccccc21>>O=[N+]([O-])C=C1COC1.CC(C)(C)OC(=O)N1C(=O)[C@](F)(C2(C[N+](=O)[O-])COC2)c2ccccc21,"['862907-21-9', '922500-95-6']",2173038-29-2,31-254-CAS-18473174,1,1,100,,1634-04-4,,"regioselective, stereoselective, optimization study (optimized on",Organocatalytic Asymmetric Synthesis of α-Oxetanyl and α-Azetidinyl,"Ding, Ransheng; Wolf, Christian","Organic Letters (2018), 20(3), 892-895",852202-58-5,,,
CC(C)C(=O)CC1(C(C)(C)C)OC=C(C(C)(C)C)C1=O,CC(C)(C)C1C(=O)C2(C(C)(C)C)CC(=O)C(C)(C)C1O2,CC(C)C(=O)CC1(C(C)(C)C)OC=C(C(C)(C)C)C1=O>>CC(C)(C)C1C(=O)C2(C(C)(C)C)CC(=O)C(C)(C)C1O2,69892-31-5,936557-35-6,31-254-CAS-4267416,1,1,100,865-47-4,75-65-0,,"stereoselective, Acid, t-BuOK/t-BuOH/0 C, H+, 1,4-Addition, Alkylation,",The intramolecular Michael reaction,"Little, R. Daniel; Masjedizadeh, Mohammad R.; Wallquist, Olof;","Organic Reactions (Hoboken, NJ, United States) (1995), 47No pp. given",,,,
CCCCC1(CCCC=O)C=CC(=O)C=C1,[H][C@]12CC(=O)C=C[C@@]1(CCCC)CC[C@@H]2C=O,CCCCC1(CCCC=O)C=CC(=O)C=C1>>[H][C@]12CC(=O)C=C[C@@]1(CCCC)CC[C@@H]2C=O,871468-62-1,871468-79-0,31-254-CAS-3710316,1,1,100,,75-05-8,General/Typical Procedure: General procedure Typical procedure for an,"stereoselective, other diastereomer also detected, 91:9 diastereomeric",Cysteine-Derived Organocatalyst in a Highly Enantioselective,"Hayashi, Yujiro; Gotoh, Hiroaki; Tamura, Tomohiro; Yamaguchi, Hirofumi;","Journal of the American Chemical Society (2005), 127(46), 16028-16029",871468-55-2,,,
C=CC(C)=O,O=C1CCCC1C(=O)NCCn1cccc1.CC(=O)CCC1(C(=O)NCCn2cccc2)CCCC1=O,C=CC(C)=O>>O=C1CCCC1C(=O)NCCn1cccc1.CC(=O)CCC1(C(=O)NCCn2cccc2)CCCC1=O,"['78-94-4', '949896-55-3']",949896-56-4,31-254-CAS-730330,1,1,100,,75-09-2,,"solid-supported catalyst, product strongly depends on reaction conditions",Site-isolated base- and acid-mediated Michael-initiated cyclization,"Pilling, Adam W.; Boehmer, Jutta; Dixon, Darren J.","Angewandte Chemie, International Edition (2007), 46(28), 5428-5430",98015-45-3,polymer-supported,,
C[N+](=O)[O-],Cn1ccnc1C(=O)/C=C/c1ccccc1Br.Cn1ccnc1C(=O)CC(C[N+](=O)[O-])c1ccccc1Br,C[N+](=O)[O-]>>Cn1ccnc1C(=O)/C=C/c1ccccc1Br.Cn1ccnc1C(=O)CC(C[N+](=O)[O-])c1ccccc1Br,"['75-52-5', '869789-73-1']",1007843-92-6,31-254-CAS-4370707,1,2,100,584-08-7,68-12-2,,"regioselective, Michael addition",DNA vs. Mirror Image DNA: A Universal Approach to Tune the Absolute,"Wang, Jocelyn; Benedetti, Erica; Bethge, Lucas; Vonhoff, Stefan;","Angewandte Chemie, International Edition (2013), 52(44), 11546-11549",,,,
O=C1CC2C(C1)C1C3CCC(=O)C3C3C4=C(CCC4=O)C2C31,O=C1CCC2C1C1C3C2C2C4CC(=O)C2C2(CCC(=O)C12)C43,O=C1CC2C(C1)C1C3CCC(=O)C3C3C4=C(CCC4=O)C2C31>>O=C1CCC2C1C1C3C2C2C4CC(=O)C2C2(CCC(=O)C12)C43,87749-16-4,87606-25-5,31-254-CAS-12472895,1,1,100,497-19-8,"['67-56-1', '7732-18-5']",,"stereoselective, Na2CO3/MeOH/H2O, 1,4-Addition, Alkylation, C-Alkylation,",The intramolecular Michael reaction,"Little, R. Daniel; Masjedizadeh, Mohammad R.; Wallquist, Olof;","Organic Reactions (Hoboken, NJ, United States) (1995), 47No pp. given",,,,
C=CC(=O)OC,CCOC(=O)CN=C(c1ccccc1)c1ccccc1.CCOC(=O)[C@@H](CCC(=O)OC)N=C(c1ccccc1)c1ccccc1,C=CC(=O)OC>>CCOC(=O)CN=C(c1ccccc1)c1ccccc1.CCOC(=O)[C@@H](CCC(=O)OC)N=C(c1ccccc1)c1ccccc1,"['96-33-3', '69555-14-2']",940297-32-5,31-254-CAS-5613528,1,3,100,12125-02-9,"['109-99-9', '7732-18-5']",General/Typical Procedure: Typical experimental procedure for catalytic,"stereoselective, molecular sieves used",Chiral Calcium Complexes as Bronsted Base Catalysts for Asymmetric,"Saito, Susumu; Tsubogo, Tetsu; Kobayashi, Shu","Journal of the American Chemical Society (2007), 129(17), 5364-5365","['15571-51-4', '132098-59-0']",,,
CC(C)(C)OC(=O)N1C(=O)C(=Cc2cccc(Cl)c2)c2ccc(Cl)cc21,C=C(N=Cc1ccc(F)c(F)c1)O[Si](C)(C)C.O=C1C[C@@H](c2cccc(Cl)c2)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@@H](c2ccc(F)c(F)c2)N1,CC(C)(C)OC(=O)N1C(=O)C(=Cc2cccc(Cl)c2)c2ccc(Cl)cc21>>C=C(N=Cc1ccc(F)c(F)c1)O[Si](C)(C)C.O=C1C[C@@H](c2cccc(Cl)c2)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@@H](c2ccc(F)c(F)c2)N1,"['949026-52-2', '950188-96-2']",949024-05-9,31-254-CAS-4607835,1,2,100,76-05-1,"['108-88-3', '75-09-2']",General/Typical Procedure: Preparation of racemic,"stereoselective (in stage 1), thermal (in stage 1), key step in stage 1,",Preparation of spiroindolinone derivatives as antiproliferative and,"Chen, Li; Ding, Qingjie; Liu, Jin-Jun; Yang, Song; Zhang, Zhuming","United States, US20080009486 A1 2008-01-10",,,,
C[N+](=O)[O-],Cn1ccnc1C(=O)/C=C/c1ccc(Cl)cc1.Cn1ccnc1C(=O)CC(C[N+](=O)[O-])c1ccc(Cl)cc1,C[N+](=O)[O-]>>Cn1ccnc1C(=O)/C=C/c1ccc(Cl)cc1.Cn1ccnc1C(=O)CC(C[N+](=O)[O-])c1ccc(Cl)cc1,"['75-52-5', '869789-69-5']",1007843-91-5,31-254-CAS-6782964,1,2,100,584-08-7,68-12-2,,"regioselective, Michael addition",DNA vs. Mirror Image DNA: A Universal Approach to Tune the Absolute,"Wang, Jocelyn; Benedetti, Erica; Bethge, Lucas; Vonhoff, Stefan;","Angewandte Chemie, International Edition (2013), 52(44), 11546-11549",,,,
