SMILES,ID,Reference,Classification,ReactionName
C=CCOC(=O)CC(=O)OCC=C.CC(=O)OCC(=O)C1=CC[C@@H]2[C@@]1(C[C@@H]([C@]1([C@H]2CCC2[C@@]1(C=CC(C=2)=O)C)F)O)C>CN(C)C=O.C1CN=C2CCCCCN2C1>C=CCOC(=O)C(C(=O)OCC=C)[C@@H]1C[C@H]2[C@@H]3CCC4=CC(C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)COC(C)=O)C)O)F)C)=O,US20020019378A1_0179,Example 5,3.11.92,Michael addition
C=CC#N.O=C1CC2(CCC2)Oc2cc(ccc12)Br>O.C1CCOC1.[NaH]>N#CCCC1C(c2ccc(cc2OC11CCC1)Br)=O,US20020082264A1_0477,Example 44,3.11.92,Michael addition
COC(=O)CC(C)=O.CC(C)=CC(C)=O>O=C(CN(CCN(CC(=O)O[Na])CC(=O)O[Na])CC(=O)O[Na])O[Na].CC[O+](CC)[B-](F)(F)F.CCOC(C)=O.C1CCCCC1>COC(=O)C(C(C)=O)C(C)(C)CC(C)=O,US20020128504A1_0045,EXAMPLE 1,3.11.92,Michael addition
CC(=O)CC(C)=O.CC(C)=CC(C)=O>O=C(CN(CCN(CC(=O)O[Na])CC(=O)O[Na])CC(=O)O[Na])O[Na].CC[O+](CC)[B-](F)(F)F.CCOC(C)=O.C1CCCCC1>CC(=O)C(C(C)=O)C(C)(C)CC(C)=O,US20020128504A1_0050,EXAMPLE 2,3.11.92,Michael addition
COC(=O)CC(C)=O.CC(=O)C(C)=CC>O=C(CN(CCN(CC(=O)O[Na])CC(=O)O[Na])CC(=O)O[Na])O[Na].CC[O+](CC)[B-](F)(F)F.CCOC(C)=O.C1CCCCC1>COC(=O)C(C(C)=O)C(C)C(C)C(C)=O,US20020128504A1_0055,EXAMPLE 3,3.11.92,Michael addition
CCOC(=O)CC#N.CCOC(=O)C=Cc1ccc(cc1)F>CC(=O)O.CCO[Na]>CCOC(=O)CC(c1ccc(cc1)F)C(C#N)C(=O)OCC,US20020133011A1_0070,Example 8,3.11.92,Michael addition
CC(=O)OC(C)(C)C.O=C1C=CCO1>CC(C)N(C(C)C)[Li].C1CCOC1.C1CCOC1.O>CC(C)(C)OC(=O)CC1COC(C1)=O |f:2.4|,US20020133023A1_0798,"EXAMPLE 65, Step 1",3.11.92,Michael addition
C=CC#N.CC(C)C=O>>CC(C)(C=O)CCC#N,US20020198388A1_C00864,,3.11.92,Michael addition
C=CC#N.O=CC1CCCC1>>N#CCCC1(CCCC1)C=O,US20020198388A1_C00887,,3.11.92,Michael addition
C=CC#N.O=CC1CCCCC1>>N#CCCC1(CCCCC1)C=O,US20020198388A1_C00891,,3.11.92,Michael addition
