Reactants_SMILES,Products_SMILES,Reaction_SMILES,ROOT:RX_ID,ROOT:RX_NVAR,ROOT:RX_RANK,ROOT:RX_RTYP,ROOT:RX_RCT,ROOT:RX_PRO,ROOT:RX_BIN,ROOT:RXD:CL,ROOT:RXD:STP,ROOT:RXD:T,ROOT:RXD:TYP,ROOT:RXD:SUB,ROOT:RXD:SOL,ROOT:RXD:citation,ROOT:COPYRIGHT:COPYRIGHT,ROOT:RXD:TIM,ROOT:RXD:COND,ROOT:RXD:PH,ROOT:RXD:LCN,ROOT:RXD:COM,ROOT:RXD:RGT,ROOT:RXD:YPRO,ROOT:RXD:YD,ROOT:RXD:NYD,ROOT:RXD:PRT,ROOT:RXD:RXDES,ROOT:RXD:YDO,ROOT:RXD:SNR,ROOT:RXD:SRCT,ROOT:RXD:LB,ROOT:RXD:TI,ROOT:RXD:TXT,ROOT:RXD:CAT
N#Cc1ccc([CH-]S(=O)(=O)C(F)(F)F)cc1.[K+],CN1C(=O)C(=Cc2cc3c4c(c2)CCCN4CCC3)C(=O)N(C)C1=O.Cn1c([O-])c(C(c2cc3c4c(c2)CCCN4CCC3)C(c2ccc(C#N)cc2)S(=O)(=O)C(F)(F)F)c(=O)n(C)c1=O.[K+],N#Cc1ccc([CH-]S(=O)(=O)C(F)(F)F)cc1.[K+]>>CN1C(=O)C(=Cc2cc3c4c(c2)CCCN4CCC3)C(=O)N(C)C1=O.Cn1c([O-])c(C(c2cc3c4c(c2)CCCN4CCC3)C(c2ccc(C#N)cc2)S(=O)(=O)C(F)(F)F)c(=O)n(C)c1=O.[K+],11230251,1,56,full reaction,"C9H5F3NO2S(1-)*K(1+)|1,3-dimethyl-5-(2,3,6,7-tetrahydro-1H,5H-pyrido[3,2,1-ij]quinolin-9-ylmethylene)pyrimidine-2,4,6(1H,3H,5H)-trione",C28H26N4O5SF3(1-)*K(1+),210162,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
CCCN,CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O.CCCNC(c1ccc(N(C)C)cc1)C1C(=O)N(C)C(=O)N(C)C1=O,CCCN>>CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O.CCCNC(c1ccc(N(C)C)cc1)C1C(=O)N(C)C(=O)N(C)C1=O,11230252,1,56,full reaction,"propylamine|5-(4-dimethylamino-benzylidene)-1,3-dimethyl-pyrimidine-2,4,6-trione",C18H26N4O3,228547,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
CC1(C)CC(=O)C=C([O-])C1.[K+],CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O.CN(C)c1ccc(C(c2c([O-])n(C)c(=O)n(C)c2=O)C2C(=O)CC(C)(C)CC2=O)cc1.[K+],CC1(C)CC(=O)C=C([O-])C1.[K+]>>CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O.CN(C)c1ccc(C(c2c([O-])n(C)c(=O)n(C)c2=O)C2C(=O)CC(C)(C)CC2=O)cc1.[K+],11230253,1,56,full reaction,"dimedone potassium salt|5-(4-dimethylamino-benzylidene)-1,3-dimethyl-pyrimidine-2,4,6-trione",C23H28N3O5(1-)*K(1+),208860,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
N#Cc1ccc([CH-]S(=O)(=O)C(F)(F)F)cc1.[K+],CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O.CN(C)c1ccc(C(c2c([O-])n(C)c(=O)n(C)c2=O)C(c2ccc(C#N)cc2)S(=O)(=O)C(F)(F)F)cc1.[K+],N#Cc1ccc([CH-]S(=O)(=O)C(F)(F)F)cc1.[K+]>>CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O.CN(C)c1ccc(C(c2c([O-])n(C)c(=O)n(C)c2=O)C(c2ccc(C#N)cc2)S(=O)(=O)C(F)(F)F)cc1.[K+],11230254,1,56,full reaction,"C9H5F3NO2S(1-)*K(1+)|5-(4-dimethylamino-benzylidene)-1,3-dimethyl-pyrimidine-2,4,6-trione",C24H22N4O5SF3(1-)*K(1+),210162,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
C1COCCN1,CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O.CN1C(=O)C(C(c2ccc(N(C)C)cc2)N2CCOCC2)C(=O)N(C)C1=O,C1COCCN1>>CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O.CN1C(=O)C(C(c2ccc(N(C)C)cc2)N2CCOCC2)C(=O)N(C)C1=O,11230255,1,56,full reaction,"morpholine|5-(4-dimethylamino-benzylidene)-1,3-dimethyl-pyrimidine-2,4,6-trione",C19H26N4O4,228546,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
CCCN,COc1ccc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1.CCCNC(c1ccc(OC)cc1)C1C(=O)N(C)C(=O)N(C)C1=O,CCCN>>COc1ccc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1.CCCNC(c1ccc(OC)cc1)C1C(=O)N(C)C(=O)N(C)C1=O,11230256,1,56,full reaction,"propylamine|5-(4-methoxy-benzylidene)-1,3-dimethyl-pyrimidine-2,4,6-trione",C17H23N3O4,228547,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
COc1ccc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1,CC1(C)OC(=O)[CH-]C(=O)O1.[K+].COc1ccc(C(c2c([O-])n(C)c(=O)n(C)c2=O)C2C(=O)OC(C)(C)OC2=O)cc1.[K+],COc1ccc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1>>CC1(C)OC(=O)[CH-]C(=O)O1.[K+].COc1ccc(C(c2c([O-])n(C)c(=O)n(C)c2=O)C2C(=O)OC(C)(C)OC2=O)cc1.[K+],11230257,1,56,full reaction,"5-(4-methoxy-benzylidene)-1,3-dimethyl-pyrimidine-2,4,6-trione|potassium 2,2-dimethyl-4-oxo-4H-1,3-dioxin-6-olate",C20H21N2O8(1-)*K(1+),217227,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
COc1ccc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1,CC1(C)CC(=O)C=C([O-])C1.[K+].COc1ccc(C(c2c([O-])n(C)c(=O)n(C)c2=O)C2C(=O)CC(C)(C)CC2=O)cc1.[K+],COc1ccc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1>>CC1(C)CC(=O)C=C([O-])C1.[K+].COc1ccc(C(c2c([O-])n(C)c(=O)n(C)c2=O)C2C(=O)CC(C)(C)CC2=O)cc1.[K+],11230262,1,56,full reaction,"5-(4-methoxy-benzylidene)-1,3-dimethyl-pyrimidine-2,4,6-trione|dimedone potassium salt","1,3-dimethyl-2,4,6-trioxo-5-[1-(4,4-dimethyl-2,6-dioxocyclohexyl)-1-(4-methoxyphenyl)-methyl]-hexahydropyrimidine potassium salt",208860,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
C1COCCN1,COc1ccc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1.COc1ccc(C(C2C(=O)N(C)C(=O)N(C)C2=O)N2CCOCC2)cc1,C1COCCN1>>COc1ccc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1.COc1ccc(C(C2C(=O)N(C)C(=O)N(C)C2=O)N2CCOCC2)cc1,11230264,1,56,full reaction,"morpholine|5-(4-methoxy-benzylidene)-1,3-dimethyl-pyrimidine-2,4,6-trione",C18H23N3O5,228546,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
CN1C(=O)C(=Cc2cc3c4c(c2)CCCN4CCC3)C(=O)N(C)C1=S,CC1(C)CC(=O)C=C([O-])C1.[K+].Cn1c([O-])c(C(c2cc3c4c(c2)CCCN4CCC3)C2C(=O)CC(C)(C)CC2=O)c(=O)n(C)c1=S.[K+],CN1C(=O)C(=Cc2cc3c4c(c2)CCCN4CCC3)C(=O)N(C)C1=S>>CC1(C)CC(=O)C=C([O-])C1.[K+].Cn1c([O-])c(C(c2cc3c4c(c2)CCCN4CCC3)C2C(=O)CC(C)(C)CC2=O)c(=O)n(C)c1=S.[K+],11230265,1,56,full reaction,"1,3-dimethyl-5-(2,3,6,7-tetrahydro-1H,5H-pyrido[3,2,1-ij]quinolin-9-ylmethylene)-2-thioxo-dihydropyrimidine-4,6(1H,5H)-dione|dimedone potassium salt",C27H32N3O4S(1-)*K(1+),208860,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
