Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:CAT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:RGT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:CAT:AMD
C=CC(=O)OC,O=C(C[N+](=O)[O-])c1ccccc1.COC(=O)CCC(C(=O)c1ccccc1)[N+](=O)[O-],C=CC(=O)OC>>O=C(C[N+](=O)[O-])c1ccccc1.COC(=O)CCC(C(=O)c1ccccc1)[N+](=O)[O-],"['96-33-3', '614-21-1']",2497468-76-3,31-254-CAS-22778285,1,1,100,"['17455-13-9', '2042668-43-7']",1665-00-5,both caged catalyst and 18-crown-6 required for optimal reaction and,Synergistic noncovalent catalysis facilitates base-free Michael addition,"Wang, Jianzhu; Young, Tom A.; Duarte, Fernanda; Lusby, Paul J.","Journal of the American Chemical Society (2020), 142(41), 17743-17750",,,
[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2,CCCC=CC(=O)OCC.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@@H](CCC)CC(=O)OCC)O1)C2,[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2>>CCCC=CC(=O)OCC.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@@H](CCC)CC(=O)OCC)O1)C2,"['810671-46-6', '1552-67-6']",810671-56-8,31-254-CAS-12764445,1,3,100,,"['109-99-9', '7732-18-5']","stereoselective, de >95%, Michael addition",Highly Stereoselective Michael Addition Reactions of CamTHP-Desymmetrized,"Dixon, Darren J.; Horan, Richard A. J.; Monck, Nathaniel J. T.; Berg,","Organic Letters (2004), 6(24), 4427-4429","['4039-32-1', '64-19-7']",General/Typical Procedure: General procedure for the Michael reaction of,
C[N+](=O)[O-],C=C(C(=O)OC)c1ccccc1.COC(=O)C(CC[N+](=O)[O-])c1ccccc1,C[N+](=O)[O-]>>C=C(C(=O)OC)c1ccccc1.COC(=O)C(CC[N+](=O)[O-])c1ccccc1,"['75-52-5', '1865-29-8']",190394-71-9,31-614-CAS-40678203,1,2,100,,75-05-8,Michael addition,Development of Noncovalent Small-Molecule Keap1-Nrf2 Inhibitors by,"Narayanan, Dilip; Tran, Kim T.; Pallesen, Jakob S.; Solbak, Sara M. Oe.;","Journal of Medicinal Chemistry (2022), 65(21), 14481-14526",6674-22-2,,
C=CCCCC=O,C=CC(=O)c1ccc(-c2ccc(OCC)c(F)c2F)cc1.C=CCCC(C=O)CCC(=O)c1ccc(-c2ccc(OCC)c(F)c2F)cc1,C=CCCCC=O>>C=CC(=O)c1ccc(-c2ccc(OCC)c(F)c2F)cc1.C=CCCC(C=O)CCC(=O)c1ccc(-c2ccc(OCC)c(F)c2F)cc1,"['764-59-0', '1344726-72-2']",1695516-12-1,31-254-CAS-16160623,1,2,100,108-18-9,"['67-56-1', '108-88-3', '7732-18-5']","key step, Michael addition",Synthesis and Physicochemical Properties of Novel Liquid Crystal,"Gotoh, Yasuyuki; Ushioda, Makoto","Molecular Crystals and Liquid Crystals (2014), 593(1), 61-77",7647-01-0,"Step 2C. To the 5-hexenal (11, 7.99 g, 0.075 mol) obtained in Step 1C was",
COC(=O)C1CCCC1=O,O=[N+]([O-])/C=C/c1cccc(Br)c1.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2cccc(Br)c2)CCCC1=O,COC(=O)C1CCCC1=O>>O=[N+]([O-])/C=C/c1cccc(Br)c1.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2cccc(Br)c2)CCCC1=O,"['10472-24-9', '115665-95-7']",1223091-53-9,31-254-CAS-6707597,1,2,100,1207339-83-0,109-99-9,"stereoselective, dr = >20:1, ee 98%, alternative reaction conditions","Optically active dicobalt complexes and their solvates, and preparation","Shibazaki, Masakatsu; Matsunaga, Shigeki; Chen, Zhihua","Japan, JP2010095486 A 2010-04-30",,,
COC(=O)C1Cc2ccccc2C1=O,CC(C)C/C=C/S(=O)(=O)C(F)(F)F.COC(=O)C1(C(CC(C)C)CS(=O)(=O)C(F)(F)F)Cc2ccccc2C1=O,COC(=O)C1Cc2ccccc2C1=O>>CC(C)C/C=C/S(=O)(=O)C(F)(F)F.COC(=O)C1(C(CC(C)C)CS(=O)(=O)C(F)(F)F)Cc2ccccc2C1=O,"['22955-77-7', '1151940-41-8']",1151940-48-5,31-254-CAS-5002064,1,1,100,844657-46-1,75-09-2,"stereoselective, opposite enantiomer obtained using catalyst QD-5C","Catalytic enantioselective conjugate additions with α,β-unsaturated","Li, Hongming; Song, Jun; Deng, Li","Tetrahedron (2009), 65(16), 3139-3148",,,
O=CC1CCOC1=O,CCOC(=O)C(=O)/C=C/c1ccc(Cl)cc1.CCOC(=O)C1=C[C@H](c2ccc(Cl)cc2)[C@]2(CCOC2=O)C(O)O1,O=CC1CCOC1=O>>CCOC(=O)C(=O)/C=C/c1ccc(Cl)cc1.CCOC(=O)C1=C[C@H](c2ccc(Cl)cc2)[C@]2(CCOC2=O)C(O)O1,"['53855-26-8', '145784-33-4']",1225465-24-6,31-254-CAS-14888382,1,2,100,149725-81-5,"['75-65-0', '108-88-3', '7732-18-5']","stereoselective, domino Michael\hemiacetalization reaction","Asymmetric Synthesis of Spiro-3,4-dihydropyrans via a Domino","Yao, Weijun; Pan, Lianjie; Wu, Yihua; Ma, Cheng","Organic Letters (2010), 12(10), 2422-2425",144-55-8,Procedure for the preparation of compound 6 The aldehyde 1h (0.4 mmol),
COc1ccc(COC(=O)CC(=O)Sc2ccc(OC)cc2)cc1,O=[N+]([O-])/C=C/c1cc(Cl)ccc1Br.COc1ccc(SC(=O)C[C@@H](C[N+](=O)[O-])c2cc(Cl)ccc2Br)cc1,COc1ccc(COC(=O)CC(=O)Sc2ccc(OC)cc2)cc1>>O=[N+]([O-])/C=C/c1cc(Cl)ccc1Br.COc1ccc(SC(=O)C[C@@H](C[N+](=O)[O-])c2cc(Cl)ccc2Br)cc1,"['1353143-26-6', '1445890-89-0']",1621509-77-0,31-154-CAS-18166952,1,3,100,852913-25-8,"['108-88-3', '75-09-2']","stereoselective, organocatalyst, key step for indoline synthesis",Stereoselective Synthesis of Indolines via Organocatalytic Thioester,"Kolarovic, Andrej; Kaslin, Alexander; Wennemers, Helma","Organic Letters (2014), 16(16), 4236-4239","['76-05-1', '7087-68-5']",General/Typical Procedure: General procedure for the conjugate addition,
CC1=CCCC1=O,CC(C)[Si](OS(=O)(=O)C(F)(F)F)(C(C)C)C(C)C.CC#CCC(C(=O)OCC)C(=O)OCC.CC#CCC(C(=O)OCC)(C(=O)OCC)C1CCC(O[Si](C(C)C)(C(C)C)C(C)C)=C1C,CC1=CCCC1=O>>CC(C)[Si](OS(=O)(=O)C(F)(F)F)(C(C)C)C(C)C.CC#CCC(C(=O)OCC)C(=O)OCC.CC#CCC(C(=O)OCC)(C(=O)OCC)C1CCC(O[Si](C(C)C)(C(C)C)C(C)C)=C1C,"['1120-73-6', '80522-42-5', '117500-14-8']",1334547-81-7,31-132-CAS-9527770,1,4,100,,"['109-99-9', '7732-18-5']","regioselective, 52-100% yield, intermediates prepared from stages 1,2",Synthesis of Fused Carbocycles via a Selective 6-Endo Dig,"Barabe, Francis; Levesque, Patrick; Korobkov, Ilia; Barriault, Louis","Organic Letters (2011), 13(20), 5580-5583","['75-18-3', '7646-69-7', '144-55-8']",General/Typical Procedure: To a flame-dried flask equipped with a,
CCOC(=O)/C=C/Cc1c(OC)cccc1C(C)=O,CCOC(=O)CC1CC(=O)c2cccc(OC)c2C1,CCOC(=O)/C=C/Cc1c(OC)cccc1C(C)=O>>CCOC(=O)CC1CC(=O)c2cccc(OC)c2C1,1801600-01-0,1801600-03-2,31-254-CAS-9147040,1,2,100,141-52-6,"['64-17-5', '109-99-9', '7732-18-5']",Michael addition,"Regio- and Stereocontrolled Dieckmann Approach to Treprostinil-Inspired,","Chamakuri, Srinivas; Jogula, Srinvas; Arya, Prabhat","ACS Combinatorial Science (2015), 17(8), 437-441",12125-02-9,,
